rho_values,xi,mu,sigma,n_blocks
0.000000000000000000e+00,5.184345372398042606e-01,-5.246426414686339301e-01,1.181746150904126880e-01,8.000000000000000000e+01
5.000000000000000278e-02,1.463400650641419443e+00,9.614054290811757664e-01,5.647932019383379576e-02,8.000000000000000000e+01
1.000000000000000056e-01,1.512602790577147749e+00,9.798615069847976811e-01,3.046154073281343369e-02,8.000000000000000000e+01
1.499999999999999944e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
2.000000000000000111e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
2.500000000000000000e-01,1.334279389057019483e+00,9.998798169745174436e-01,1.603577338158898580e-04,8.000000000000000000e+01
2.999999999999999889e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
3.499999999999999778e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
4.000000000000000222e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
4.500000000000000111e-01,1.373601436262293696e+00,9.999578517112988063e-01,5.789494989595895364e-05,8.000000000000000000e+01
5.000000000000000000e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
