rho,mean_m,var_m,mean_m_sem,var_m_sem
0.000000000000000000e+00,-2.128939649999999906e-01,4.441659167029938377e-02,2.081920353341353280e-01,1.757742150731839842e-02
5.000000000000000278e-02,8.067281299999999877e-01,1.590939994975399882e-02,8.553824123885919728e-02,6.341492383401872539e-03
1.000000000000000056e-01,9.826571200000000506e-01,1.155338553222999857e-03,7.567162283224167750e-03,5.424076945758430886e-04
1.499999999999999944e-01,9.888106199999999735e-01,6.769192814402500129e-04,9.047150846749387951e-03,6.002493993462435385e-04
2.000000000000000111e-01,9.966639900000000551e-01,1.266666201985000291e-04,1.251400923105777533e-03,6.541966711036262933e-05
2.500000000000000000e-01,9.983657149999999314e-01,3.749610014062506214e-05,1.249238007562020625e-03,3.327855682069855381e-05
2.999999999999999889e-01,9.999847049999999182e-01,4.397654187500007588e-08,1.303381275758735726e-05,3.938525992033920669e-08
3.499999999999999778e-01,9.999724000000000945e-01,1.169112000000002032e-07,2.760000000001649684e-05,1.169112000000001899e-07
4.000000000000000222e-01,9.999785899999998895e-01,7.940805950000016827e-08,2.140999999999948500e-05,7.940805950000016827e-08
4.500000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
