rho_values,xi,mu,sigma,n_blocks
0.000000000000000000e+00,-1.172923247143745074e-02,-5.265356409132969651e-01,1.248939164177939043e-01,8.000000000000000000e+01
5.000000000000000278e-02,1.403165107094171304e+00,8.858327534193721764e-01,1.601954967749533165e-01,8.000000000000000000e+01
1.000000000000000056e-01,1.277570167558101044e+00,9.927141503712373360e-01,9.308184131021446026e-03,8.000000000000000000e+01
1.499999999999999944e-01,1.073423377997424044e+00,9.971673566199734662e-01,3.040625625650123648e-03,8.000000000000000000e+01
2.000000000000000111e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
2.500000000000000000e-01,1.411547377066304065e+00,9.997997875096362730e-01,2.826094156288325296e-04,8.000000000000000000e+01
2.999999999999999889e-01,1.449924071986889551e+00,9.992835854147412711e-01,1.038746752689135092e-03,8.000000000000000000e+01
3.499999999999999778e-01,1.645807588147691014e+00,9.999992117698797145e-01,1.297275113172450919e-06,8.000000000000000000e+01
4.000000000000000222e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
4.500000000000000111e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
5.000000000000000000e-01,-8.514711824785581307e-01,1.000000000000000000e+00,5.247036841716640566e-24,8.000000000000000000e+01
