rho,mean_m,var_m,mean_m_sem,var_m_sem
0.000000000000000000e+00,1.982904785156250071e-01,7.531920813371896853e-03,1.420429526867028336e-01,2.191744860926339578e-03
5.000000000000000278e-02,8.032803613281250810e-01,2.332400518557142810e-02,3.200145320612409611e-02,3.977179906777305977e-03
1.000000000000000056e-01,9.225078613281250117e-01,7.856588669032812944e-03,8.256853998656454169e-03,3.841199695604601157e-04
1.499999999999999944e-01,9.635257714843751264e-01,1.439501395746946213e-03,7.033883128196081677e-03,4.059752727252703610e-04
2.000000000000000111e-01,9.918218261718749762e-01,3.480927954266071632e-04,2.095594597942092643e-03,1.562904811672760901e-04
2.500000000000000000e-01,9.976554199218750085e-01,8.057001110529899519e-05,1.463739762433299580e-03,6.691006145523081860e-05
2.999999999999999889e-01,9.994501025390624127e-01,5.393897781252860970e-06,2.769644972345467089e-04,2.945656249769760275e-06
3.499999999999999778e-01,9.999799902343748936e-01,8.123474073410035620e-08,2.000976562499534595e-05,8.123474073410034296e-08
4.000000000000000222e-01,9.997674658203126175e-01,1.986087185740470192e-06,1.589637760998721964e-04,1.233231852170011828e-06
4.500000000000000111e-01,9.998838623046875096e-01,8.652822703123092587e-07,1.161376953124904077e-04,8.652822703123091528e-07
5.000000000000000000e-01,9.999573242187500544e-01,2.318301677703857587e-07,4.267578124999004834e-05,2.318301677703857323e-07
