n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,highest_degree,random,0.5950644999999978,1.0,13.5,0,0
5,10,highest_degree,random,0.5171494843749984,1.0,931.25,1,1
5,15,highest_degree,random,0.47506721874999924,1.0,285.75,1,1
5,20,highest_degree,random,0.3515715781250002,1.0,621.5,1,1
5,25,highest_degree,random,0.3034540000000002,1.0,732.875,1,1
5,30,highest_degree,random,0.25552703125000015,1.0,356.875,1,1
5,35,highest_degree,random,0.21345381250000015,1.0,1247.0,1,1
5,40,highest_degree,random,0.10204203125000007,0.875,1124.125,1,1
5,50,highest_degree,random,0.057797640625000056,0.875,1722.5,1,1
10,5,highest_degree,random,0.7866909687499941,1.0,80.125,0,0
10,10,highest_degree,random,0.6504735937499968,1.0,110.75,0,0
10,15,highest_degree,random,0.6200777656249974,1.0,254.875,1,1
10,20,highest_degree,random,0.5477480937499983,1.0,503.625,1,1
10,25,highest_degree,random,0.454060859375,1.0,412.375,1,1
10,30,highest_degree,random,0.4521132656249998,1.0,510.125,1,1
10,35,highest_degree,random,0.3698299375000002,1.0,259.0,1,1
10,40,highest_degree,random,0.3089318906250002,1.0,226.75,1,1
10,50,highest_degree,random,0.2721068750000002,1.0,1084.625,1,1
15,5,highest_degree,random,0.8131289218749936,1.0,12.625,0,0
15,10,highest_degree,random,0.7339210937499951,1.0,21.625,0,0
15,15,highest_degree,random,0.6862978437499963,1.0,28.25,0,0
15,20,highest_degree,random,0.6537408749999969,1.0,146.625,1,1
15,25,highest_degree,random,0.594927531249998,1.0,40.375,1,1
15,30,highest_degree,random,0.5202876874999992,1.0,140.25,1,1
15,35,highest_degree,random,0.4888907656249995,1.0,155.5,1,1
15,40,highest_degree,random,0.44372542187499997,1.0,277.125,1,1
15,50,highest_degree,random,0.38146895312500023,1.0,419.625,1,1
20,5,highest_degree,random,0.8384215781249931,1.0,6.375,0,0
20,10,highest_degree,random,0.7759704843749944,1.0,15.125,0,0
20,15,highest_degree,random,0.7075546249999958,1.0,92.25,0,0
20,20,highest_degree,random,0.699449171874996,1.0,40.375,0,0
20,25,highest_degree,random,0.6450489687499972,1.0,73.875,1,1
20,30,highest_degree,random,0.6288594531249975,1.0,66.125,1,1
20,35,highest_degree,random,0.5937357656249982,1.0,75.875,1,1
20,40,highest_degree,random,0.5007952656249995,1.0,384.375,1,1
20,50,highest_degree,random,0.4312439843750002,1.0,332.875,1,1
25,5,highest_degree,random,0.8743101249999923,1.0,1.0,0,0
25,10,highest_degree,random,0.8171231093749936,1.0,11.375,0,0
25,15,highest_degree,random,0.7755268281249944,1.0,64.0,0,0
25,20,highest_degree,random,0.7260880312499955,1.0,72.25,0,0
25,25,highest_degree,random,0.6571551406249969,1.0,48.625,0,0
25,30,highest_degree,random,0.6594317656249968,1.0,68.625,1,1
25,35,highest_degree,random,0.6065276718749979,1.0,192.875,1,1
25,40,highest_degree,random,0.5546680937499988,1.0,88.125,1,1
25,50,highest_degree,random,0.48564709375,1.0,113.0,1,1
30,5,highest_degree,random,0.8752172656249924,1.0,6.875,0,0
30,10,highest_degree,random,0.8331482656249932,1.0,2.875,0,0
30,15,highest_degree,random,0.8002014999999939,1.0,20.0,0,0
30,20,highest_degree,random,0.7578790781249948,1.0,14.75,0,0
30,25,highest_degree,random,0.7171644531249957,1.0,60.5,0,0
30,30,highest_degree,random,0.6711722968749967,1.0,46.75,0,0
30,35,highest_degree,random,0.6352173437499974,1.0,112.375,1,1
30,40,highest_degree,random,0.6274700312499975,1.0,124.875,1,1
30,50,highest_degree,random,0.5160401249999996,1.0,64.75,1,1
35,5,highest_degree,random,0.8914475937499919,1.0,1.0,0,0
35,10,highest_degree,random,0.8482249843749928,1.0,3.875,0,0
35,15,highest_degree,random,0.8083285937499938,1.0,3.375,0,0
35,20,highest_degree,random,0.792121328124994,1.0,3.125,0,0
35,25,highest_degree,random,0.7276729687499954,1.0,3.5,0,0
35,30,highest_degree,random,0.7136265624999958,1.0,1.0,0,0
35,35,highest_degree,random,0.6489239062499971,1.0,74.5,0,0
35,40,highest_degree,random,0.6028569374999981,1.0,95.75,1,1
35,50,highest_degree,random,0.5550394843749991,1.0,89.0,1,1
40,5,highest_degree,random,0.9079436249999916,1.0,2.375,0,0
40,10,highest_degree,random,0.8735589218749923,1.0,1.0,0,0
40,15,highest_degree,random,0.8459473906249928,1.0,16.375,0,0
40,20,highest_degree,random,0.7826759374999942,1.0,18.25,0,0
40,25,highest_degree,random,0.7476509374999949,1.0,13.625,0,0
40,30,highest_degree,random,0.7056221718749959,1.0,9.25,0,0
40,35,highest_degree,random,0.6753879687499966,1.0,85.0,0,0
40,40,highest_degree,random,0.6477311093749971,1.0,46.0,0,0
40,50,highest_degree,random,0.5786461562499986,1.0,94.0,1,1
