n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,hub_then_spread,random,0.4883206562499989,1.0,50.75,0,0
5,10,hub_then_spread,random,0.3388081718749997,1.0,958.125,1,1
5,15,hub_then_spread,random,0.32519382812499986,1.0,320.0,1,1
5,20,hub_then_spread,random,0.2902064218749999,1.0,1736.0,1,1
5,25,hub_then_spread,random,0.21949020312500012,1.0,1092.0,1,1
5,30,hub_then_spread,random,0.2113391562500001,0.875,401.25,1,1
5,35,hub_then_spread,random,0.053493578125000024,0.75,2629.125,1,1
5,40,hub_then_spread,random,0.037713109375000026,0.75,2266.714285714286,1,1
5,50,hub_then_spread,random,-0.10708364062500003,0.25,1838.5714285714287,1,0
10,5,hub_then_spread,random,0.6520085624999967,1.0,44.0,0,0
10,10,hub_then_spread,random,0.5369847343749984,1.0,212.875,0,0
10,15,hub_then_spread,random,0.5058449843749993,1.0,379.875,1,1
10,20,hub_then_spread,random,0.42032771874999975,1.0,146.375,1,1
10,25,hub_then_spread,random,0.420220796875,1.0,406.25,1,1
10,30,hub_then_spread,random,0.28938660937500016,1.0,786.375,1,1
10,35,hub_then_spread,random,0.2615820781250002,1.0,735.125,1,1
10,40,hub_then_spread,random,0.23796734375000014,1.0,815.375,1,1
10,50,hub_then_spread,random,0.12670725000000008,0.875,1681.75,1,1
15,5,hub_then_spread,random,0.7516043281249949,1.0,23.375,0,0
15,10,hub_then_spread,random,0.6777938906249965,1.0,23.75,0,0
15,15,hub_then_spread,random,0.6115299374999976,1.0,92.75,0,0
15,20,hub_then_spread,random,0.5479621874999987,1.0,496.0,1,1
15,25,hub_then_spread,random,0.5006957343749991,1.0,31.375,1,1
15,30,hub_then_spread,random,0.42937135937500004,1.0,300.375,1,1
15,35,hub_then_spread,random,0.3871564218750002,1.0,263.0,1,1
15,40,hub_then_spread,random,0.32982229687500025,1.0,358.375,1,1
15,50,hub_then_spread,random,0.2755777187500002,1.0,724.625,1,1
20,5,hub_then_spread,random,0.7572008124999947,1.0,5.875,0,0
20,10,hub_then_spread,random,0.7070695156249959,1.0,55.375,0,0
20,15,hub_then_spread,random,0.6420726406249972,1.0,62.75,0,0
20,20,hub_then_spread,random,0.5694119374999984,1.0,98.25,0,0
20,25,hub_then_spread,random,0.5585880156249986,1.0,101.625,1,1
20,30,hub_then_spread,random,0.5114135312499993,1.0,71.5,1,1
20,35,hub_then_spread,random,0.4734650156249999,1.0,118.625,1,1
20,40,hub_then_spread,random,0.4233863750000002,1.0,354.75,1,1
20,50,hub_then_spread,random,0.36851042187500016,1.0,271.875,1,1
25,5,hub_then_spread,random,0.7958254687499939,1.0,1.0,0,0
25,10,hub_then_spread,random,0.7478669218749949,1.0,17.625,0,0
25,15,hub_then_spread,random,0.7164017968749956,1.0,45.75,0,0
25,20,hub_then_spread,random,0.6965647031249961,1.0,88.25,0,0
25,25,hub_then_spread,random,0.6128142343749975,1.0,111.875,0,0
25,30,hub_then_spread,random,0.5622108437499985,1.0,93.25,1,1
25,35,hub_then_spread,random,0.5349282968749992,1.0,127.25,1,1
25,40,hub_then_spread,random,0.4734351406249996,1.0,142.875,1,1
25,50,hub_then_spread,random,0.3911254218750002,1.0,149.125,1,1
30,5,hub_then_spread,random,0.8202765781249934,1.0,1.0,0,0
30,10,hub_then_spread,random,0.8038041406249938,1.0,1.375,0,0
30,15,hub_then_spread,random,0.7433362499999951,1.0,63.5,0,0
30,20,hub_then_spread,random,0.6800879531249964,1.0,16.75,0,0
30,25,hub_then_spread,random,0.6355855781249973,1.0,97.875,0,0
30,30,hub_then_spread,random,0.5934841562499982,1.0,71.625,0,0
30,35,hub_then_spread,random,0.5273988593749991,1.0,185.5,1,1
30,40,hub_then_spread,random,0.5333272187499991,1.0,116.75,1,1
30,50,hub_then_spread,random,0.4407456406250002,1.0,110.75,1,1
35,5,hub_then_spread,random,0.8655732812499926,1.0,1.0,0,0
35,10,hub_then_spread,random,0.8175090468749936,1.0,1.25,0,0
35,15,hub_then_spread,random,0.7701105468749945,1.0,38.75,0,0
35,20,hub_then_spread,random,0.7272961562499953,1.0,3.25,0,0
35,25,hub_then_spread,random,0.6806204062499964,1.0,11.625,0,0
35,30,hub_then_spread,random,0.6280322499999975,1.0,1.0,0,0
35,35,hub_then_spread,random,0.605185312499998,1.0,108.125,0,0
35,40,hub_then_spread,random,0.5763054687499984,1.0,138.375,1,1
35,50,hub_then_spread,random,0.48330612499999975,1.0,85.375,1,1
40,5,hub_then_spread,random,0.8682361406249923,1.0,2.625,0,0
40,10,hub_then_spread,random,0.8501416406249929,1.0,1.0,0,0
40,15,hub_then_spread,random,0.7896333749999941,1.0,11.25,0,0
40,20,hub_then_spread,random,0.753572734374995,1.0,2.5,0,0
40,25,hub_then_spread,random,0.7040285312499959,1.0,20.25,0,0
40,30,hub_then_spread,random,0.657148343749997,1.0,20.0,0,0
40,35,hub_then_spread,random,0.6205401874999976,1.0,26.5,0,0
40,40,hub_then_spread,random,0.6103798593749978,1.0,84.0,0,0
40,50,hub_then_spread,random,0.5119112343749996,1.0,28.0,1,1
