n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,random,random,0.14568924999999985,0.625,68.625,0,0
5,10,random,random,-0.18704229687499963,0.375,1323.3333333333333,1,0
5,15,random,random,-0.2561659843749994,0.0,1264.375,1,0
5,20,random,random,-0.23049059375000003,0.0,691.3333333333334,1,0
5,25,random,random,-0.3058151874999997,0.0,1286.857142857143,1,0
5,30,random,random,-0.3088861562499998,0.0,3035.6,1,0
5,35,random,random,-0.41321376562499956,0.0,1014.3333333333334,1,0
5,40,random,random,-0.4681577812499987,0.0,282.0,1,0
5,50,random,random,-0.4911836406249983,0.0,720.0,1,0
10,5,random,random,0.2217444843749994,0.625,3.5714285714285716,0,0
10,10,random,random,0.036054156250000025,0.625,1170.857142857143,0,0
10,15,random,random,-0.14524509374999992,0.25,1845.5714285714287,1,0
10,20,random,random,-0.1696735625000001,0.0,3673.285714285714,1,0
10,25,random,random,-0.42996473437499916,0.0,336.8,1,0
10,30,random,random,-0.29455128124999996,0.0,2296.8571428571427,1,0
10,35,random,random,-0.3051911249999998,0.0,90.0,1,0
10,40,random,random,-0.32114840624999985,0.0,861.0,1,0
10,50,random,random,-0.4621611249999989,0.0,2006.5,1,0
15,5,random,random,0.14640643749999982,0.75,33.5,0,0
15,10,random,random,0.05708179687499981,0.625,1483.625,0,0
15,15,random,random,0.05718232812500003,0.5,806.125,0,0
15,20,random,random,-0.04268754687500027,0.375,1925.4285714285713,1,0
15,25,random,random,-0.16684003125000002,0.125,524.375,1,0
15,30,random,random,-0.2435454843750001,0.0,3316.0,1,0
15,35,random,random,-0.19014642187500005,0.125,3888.5714285714284,1,0
15,40,random,random,-0.22678595312500002,0.0,1534.125,1,0
15,50,random,random,-0.40588167187499924,0.0,899.75,1,0
20,5,random,random,0.22585796874999986,0.75,4.5,0,0
20,10,random,random,0.17987975000000012,1.0,171.625,0,0
20,15,random,random,0.07238507812500006,0.75,167.375,0,0
20,20,random,random,0.049907296875000035,0.5,560.625,0,0
20,25,random,random,-0.09215943750000005,0.125,683.8571428571429,1,0
20,30,random,random,-0.08317392187500008,0.375,159.125,1,0
20,35,random,random,-0.26811300000000005,0.0,831.7142857142857,1,0
20,40,random,random,-0.1454640000000001,0.125,182.6,1,0
20,50,random,random,-0.27801932812499974,0.125,346.75,1,0
25,5,random,random,0.29594646874999997,1.0,7.5,0,0
25,10,random,random,0.29149965625000007,1.0,191.0,0,0
25,15,random,random,0.2553262343750001,1.0,372.0,0,0
25,20,random,random,-0.07909510937500004,0.375,1438.625,0,0
25,25,random,random,-0.04302973437500003,0.375,302.875,0,0
25,30,random,random,0.009832843749999997,0.625,938.0,1,1
25,35,random,random,-0.15983250000000004,0.25,357.42857142857144,1,0
25,40,random,random,-0.125123671875,0.25,261.7142857142857,1,0
25,50,random,random,-0.19823223437500004,0.25,1937.6666666666667,1,0
30,5,random,random,0.3238157343749998,1.0,1.0,0,0
30,10,random,random,0.18110751562500013,1.0,20.0,0,0
30,15,random,random,0.1766689843749999,1.0,24.875,0,0
30,20,random,random,0.023284109375000014,0.5,144.0,0,0
30,25,random,random,0.013270328125000008,0.625,1098.125,0,0
30,30,random,random,0.03907942187500003,0.625,233.5,0,0
30,35,random,random,0.0015303593749999974,0.625,163.5,1,1
30,40,random,random,-0.021881390625000007,0.375,579.375,1,0
30,50,random,random,-0.2074531093750001,0.0,4153.833333333333,1,0
35,5,random,random,0.3906185937499991,1.0,2.375,0,0
35,10,random,random,0.22701073437499997,1.0,3.625,0,0
35,15,random,random,0.18764714062499974,1.0,21.0,0,0
35,20,random,random,0.1596230312500001,0.75,2.25,0,0
35,25,random,random,0.10199850000000003,0.75,1905.0,0,0
35,30,random,random,0.07117746875000004,0.625,1.75,0,0
35,35,random,random,0.04303537500000003,0.5,559.0,0,0
35,40,random,random,-0.08389345312500006,0.375,1533.75,1,0
35,50,random,random,-0.15690398437500008,0.0,4690.142857142857,1,0
40,5,random,random,0.4049219687499996,1.0,1.0,0,0
40,10,random,random,0.31894059374999983,1.0,1.0,0,0
40,15,random,random,0.2670552968750001,0.875,11.375,0,0
40,20,random,random,0.29704571874999997,1.0,15.25,0,0
40,25,random,random,0.2272415,1.0,403.125,0,0
40,30,random,random,0.13975926562500007,0.75,121.125,0,0
40,35,random,random,0.07440448437500005,0.625,299.625,0,0
40,40,random,random,0.026073781250000025,0.625,936.125,0,0
40,50,random,random,-0.031967703125000024,0.5,121.0,1,0
