n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,highest_degree,random,0.07559976562500005,0.5,610.25,0,0
5,10,highest_degree,random,0.04008892187500003,0.5,1672.375,1,0
5,15,highest_degree,random,-0.11826576562500009,0.25,4048.714285714286,1,0
5,20,highest_degree,random,-0.20076487500000012,0.125,1130.2857142857142,1,0
5,25,highest_degree,random,-0.1834852968750001,0.0,126.0,1,0
5,30,highest_degree,random,-0.328154375,0.0,519.25,1,0
5,35,highest_degree,random,-0.35517334375,0.0,1380.0,1,0
5,40,highest_degree,random,-0.34819085937499994,0.0,461.0,1,0
5,50,highest_degree,random,-0.4804429843749992,0.0,832.0,1,0
10,5,highest_degree,random,0.19694990625000014,1.0,84.5,0,0
10,10,highest_degree,random,0.10244382812500005,0.875,1314.5,0,0
10,15,highest_degree,random,0.05467862500000002,0.625,2535.75,1,1
10,20,highest_degree,random,-0.06376651562500003,0.25,323.625,1,0
10,25,highest_degree,random,-0.06783517187500002,0.25,4403.285714285715,1,0
10,30,highest_degree,random,-0.1643822343750001,0.25,352.6666666666667,1,0
10,35,highest_degree,random,-0.24813845312500016,0.0,5056.25,1,0
10,40,highest_degree,random,-0.26429482812500016,0.0,836.4,1,0
10,50,highest_degree,random,-0.3320423750000002,0.0,7.0,1,0
15,5,highest_degree,random,0.2707550937500002,1.0,183.125,0,0
15,10,highest_degree,random,0.2169904531250001,1.0,670.625,0,0
15,15,highest_degree,random,0.08839876562500006,0.875,619.25,0,0
15,20,highest_degree,random,0.06519135937500004,0.875,1028.5,1,1
15,25,highest_degree,random,0.018300453125000008,0.625,304.75,1,1
15,30,highest_degree,random,-0.06166529687500004,0.375,1913.857142857143,1,0
15,35,highest_degree,random,-0.10360276562500005,0.125,718.125,1,0
15,40,highest_degree,random,-0.19473729687500013,0.0,1434.5,1,0
15,50,highest_degree,random,-0.30574976562500017,0.0,573.3333333333334,1,0
20,5,highest_degree,random,0.45911029687499916,1.0,5.625,0,0
20,10,highest_degree,random,0.343364296875,1.0,43.625,0,0
20,15,highest_degree,random,0.1994504062500001,1.0,198.75,0,0
20,20,highest_degree,random,0.1784900625000001,1.0,88.25,0,0
20,25,highest_degree,random,0.08771776562500004,1.0,236.5,1,1
20,30,highest_degree,random,0.09612345312500006,0.875,167.125,1,1
20,35,highest_degree,random,-0.05182121875000001,0.125,1255.0,1,0
20,40,highest_degree,random,-0.04937307812500001,0.125,2422.75,1,0
20,50,highest_degree,random,-0.20261039062500008,0.0,546.2,1,0
25,5,highest_degree,random,0.504385343749999,1.0,1.0,0,0
25,10,highest_degree,random,0.3759872812499999,1.0,22.125,0,0
25,15,highest_degree,random,0.3024313125000001,1.0,70.75,0,0
25,20,highest_degree,random,0.3118892500000002,1.0,931.5,0,0
25,25,highest_degree,random,0.14352957812500008,1.0,331.25,0,0
25,30,highest_degree,random,0.09554029687500007,0.875,83.25,1,1
25,35,highest_degree,random,0.08608746875000006,0.75,808.375,1,1
25,40,highest_degree,random,0.04922309375000003,0.875,356.5,1,1
25,50,highest_degree,random,-0.04340775000000002,0.5,4801.625,1,0
30,5,highest_degree,random,0.5328684687499985,1.0,1.0,0,0
30,10,highest_degree,random,0.4373797499999995,1.0,2.625,0,0
30,15,highest_degree,random,0.3770800312500002,1.0,110.75,0,0
30,20,highest_degree,random,0.31615390625000017,1.0,57.5,0,0
30,25,highest_degree,random,0.2720128906250001,1.0,183.375,0,0
30,30,highest_degree,random,0.1461326875000001,1.0,836.5,0,0
30,35,highest_degree,random,0.15533464062500008,1.0,240.875,1,1
30,40,highest_degree,random,0.08732200000000007,0.875,268.875,1,1
30,50,highest_degree,random,-0.02862629687500002,0.25,467.5,1,0
35,5,highest_degree,random,0.5940688906249979,1.0,1.0,0,0
35,10,highest_degree,random,0.5379929999999987,1.0,2.125,0,0
35,15,highest_degree,random,0.4831400624999995,1.0,1.0,0,0
35,20,highest_degree,random,0.4310047656249999,1.0,8.0,0,0
35,25,highest_degree,random,0.30818764062500015,1.0,49.0,0,0
35,30,highest_degree,random,0.24334521875000015,1.0,1.0,0,0
35,35,highest_degree,random,0.19076965625000014,1.0,729.25,0,0
35,40,highest_degree,random,0.14960457812500005,0.875,543.0,1,1
35,50,highest_degree,random,0.03711532812500001,0.625,354.5,1,1
40,5,highest_degree,random,0.6738979843749964,1.0,1.0,0,0
40,10,highest_degree,random,0.6143643749999974,1.0,1.0,0,0
40,15,highest_degree,random,0.4759133593749997,1.0,43.75,0,0
40,20,highest_degree,random,0.4291603906249998,1.0,33.0,0,0
40,25,highest_degree,random,0.38028520312500014,1.0,61.75,0,0
40,30,highest_degree,random,0.2907598437500002,1.0,20.75,0,0
40,35,highest_degree,random,0.30228029687500024,1.0,66.25,0,0
40,40,highest_degree,random,0.20610292187500012,1.0,695.5,0,0
40,50,highest_degree,random,0.11602267187500007,1.0,115.0,1,1
