n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,hub_then_spread,random,0.08119962500000005,0.75,800.625,0,0
5,10,hub_then_spread,random,-0.03172879687500001,0.375,1124.125,1,0
5,15,hub_then_spread,random,-0.08661378125,0.25,751.8571428571429,1,0
5,20,hub_then_spread,random,-0.17164385937500012,0.125,2711.3333333333335,1,0
5,25,hub_then_spread,random,-0.32804729687500006,0.0,274.8,1,0
5,30,hub_then_spread,random,-0.3376514843749999,0.0,358.8,1,0
5,35,hub_then_spread,random,-0.3075546093750001,0.0,3420.25,1,0
5,40,hub_then_spread,random,-0.3902402656249999,0.0,1245.0,1,0
5,50,hub_then_spread,random,-0.49263117187499916,0.0,769.0,1,0
10,5,hub_then_spread,random,0.24911629687499998,1.0,162.75,0,0
10,10,hub_then_spread,random,0.059232843750000055,0.5,3283.5,0,0
10,15,hub_then_spread,random,-0.06254057812500004,0.25,892.5714285714286,1,0
10,20,hub_then_spread,random,-0.010638093750000004,0.5,144.5,1,0
10,25,hub_then_spread,random,-0.09897004687500005,0.375,3442.8571428571427,1,0
10,30,hub_then_spread,random,-0.11021012500000005,0.25,2721.125,1,0
10,35,hub_then_spread,random,-0.22589907812500015,0.0,227.14285714285714,1,0
10,40,hub_then_spread,random,-0.2966090156250001,0.0,317.6666666666667,1,0
10,50,hub_then_spread,random,-0.4216459375,0.0,67.0,1,0
15,5,hub_then_spread,random,0.21306743750000012,1.0,171.625,0,0
15,10,hub_then_spread,random,0.2923864218750001,1.0,182.875,0,0
15,15,hub_then_spread,random,0.13288409375000007,1.0,397.75,0,0
15,20,hub_then_spread,random,-0.03287982812500001,0.25,1164.0,1,0
15,25,hub_then_spread,random,-0.01762682812500001,0.375,209.5,1,0
15,30,hub_then_spread,random,-0.12178779687500008,0.125,226.16666666666666,1,0
15,35,hub_then_spread,random,-0.1457683593750001,0.0,2289.4285714285716,1,0
15,40,hub_then_spread,random,-0.24243645312500017,0.0,496.75,1,0
15,50,hub_then_spread,random,-0.3119128593750002,0.0,151.0,1,0
20,5,hub_then_spread,random,0.42023123437499965,1.0,21.125,0,0
20,10,hub_then_spread,random,0.2607067500000001,1.0,62.5,0,0
20,15,hub_then_spread,random,0.22455521875000012,1.0,215.375,0,0
20,20,hub_then_spread,random,0.1599127968750001,1.0,259.125,0,0
20,25,hub_then_spread,random,0.07385446875000004,0.75,182.5,1,1
20,30,hub_then_spread,random,-0.02108356250000001,0.25,301.875,1,0
20,35,hub_then_spread,random,-0.026404515625000013,0.375,2933.5,1,0
20,40,hub_then_spread,random,-0.14229589062500006,0.0,4113.166666666667,1,0
20,50,hub_then_spread,random,-0.20338395312500013,0.0,1231.1666666666667,1,0
25,5,hub_then_spread,random,0.49170973437499865,1.0,1.0,0,0
25,10,hub_then_spread,random,0.4305183749999996,1.0,22.125,0,0
25,15,hub_then_spread,random,0.2709530625000001,1.0,209.375,0,0
25,20,hub_then_spread,random,0.23186543750000016,1.0,149.375,0,0
25,25,hub_then_spread,random,0.1774750468750001,1.0,539.0,0,0
25,30,hub_then_spread,random,0.09929201562500006,0.875,70.75,1,1
25,35,hub_then_spread,random,0.03127034375000002,0.5,1144.875,1,0
25,40,hub_then_spread,random,-0.025605968750000017,0.375,181.25,1,0
25,50,hub_then_spread,random,-0.14815212500000008,0.0,6474.0,1,0
30,5,hub_then_spread,random,0.5084369531249987,1.0,1.0,0,0
30,10,hub_then_spread,random,0.44108815624999986,1.0,3.25,0,0
30,15,hub_then_spread,random,0.31231770312500007,1.0,237.375,0,0
30,20,hub_then_spread,random,0.29291720312500014,1.0,284.125,0,0
30,25,hub_then_spread,random,0.30270489062500017,1.0,217.125,0,0
30,30,hub_then_spread,random,0.10549292187500005,1.0,1056.5,0,0
30,35,hub_then_spread,random,0.07843692187500004,0.875,406.375,1,1
30,40,hub_then_spread,random,0.046676453125000024,0.875,295.25,1,1
30,50,hub_then_spread,random,-0.07671132812500003,0.25,2716.25,1,0
35,5,hub_then_spread,random,0.5994531249999975,1.0,1.0,0,0
35,10,hub_then_spread,random,0.4544616406249995,1.0,1.625,0,0
35,15,hub_then_spread,random,0.39575115625000007,1.0,1.0,0,0
35,20,hub_then_spread,random,0.3206162656250001,1.0,33.125,0,0
35,25,hub_then_spread,random,0.26816889062500016,1.0,173.0,0,0
35,30,hub_then_spread,random,0.18564979687500013,1.0,1.0,0,0
35,35,hub_then_spread,random,0.15022215625000007,1.0,611.375,0,0
35,40,hub_then_spread,random,0.11056540625000005,1.0,906.25,1,1
35,50,hub_then_spread,random,-0.008412484375000003,0.375,2149.125,1,0
40,5,hub_then_spread,random,0.6110281874999973,1.0,1.125,0,0
40,10,hub_then_spread,random,0.5347917499999986,1.0,1.0,0,0
40,15,hub_then_spread,random,0.4858702812499991,1.0,24.5,0,0
40,20,hub_then_spread,random,0.33830932812500025,1.0,61.5,0,0
40,25,hub_then_spread,random,0.3211441718750001,1.0,80.25,0,0
40,30,hub_then_spread,random,0.23418331250000013,1.0,117.75,0,0
40,35,hub_then_spread,random,0.16552929687500006,1.0,430.625,0,0
40,40,hub_then_spread,random,0.1762361562500001,1.0,895.375,0,0
40,50,hub_then_spread,random,0.024323781250000003,0.625,193.0,1,1
