n_pos,n_neg,strategy_pos,strategy_neg,mean_magnetization,P_plus_win,mean_crossing_time,is_minority_positive,minority_dominance
5,5,random,random,0.0745623125,0.75,325.2857142857143,0,0
5,10,random,random,-0.06698821875,0.5,2502.75,1,0
5,15,random,random,-0.1589806093750001,0.125,1174.5714285714287,1,0
5,20,random,random,-0.2587292343750001,0.0,624.2,1,0
5,25,random,random,-0.2362737656249999,0.125,141.2,1,0
5,30,random,random,-0.36472473437499947,0.0,865.25,1,0
5,35,random,random,-0.4410667031249991,0.0,974.0,1,0
5,40,random,random,-0.47071128124999906,0.0,1060.3333333333333,1,0
5,50,random,random,-0.5522447656249982,0.0,781.0,1,0
10,5,random,random,0.12466626562500008,0.625,360.875,0,0
10,10,random,random,-0.005211765625000003,0.5,1477.0,0,0
10,15,random,random,-0.04706870312500003,0.25,2389.375,1,0
10,20,random,random,-0.05733590625000002,0.25,274.5,1,0
10,25,random,random,-0.25506818750000015,0.0,2941.25,1,0
10,30,random,random,-0.2716775000000001,0.0,765.2,1,0
10,35,random,random,-0.3706917968749998,0.0,230.8,1,0
10,40,random,random,-0.36928839062499985,0.0,135.4,1,0
10,50,random,random,-0.4594964999999992,0.0,2159.0,1,0
15,5,random,random,0.2614649999999999,0.875,78.125,0,0
15,10,random,random,0.033441359374999965,0.75,995.0,0,0
15,15,random,random,0.007003234374999988,0.625,392.25,0,0
15,20,random,random,-0.07185753125000002,0.0,798.3333333333334,1,0
15,25,random,random,-0.19349951562500012,0.125,121.25,1,0
15,30,random,random,-0.22006601562500017,0.0,452.3333333333333,1,0
15,35,random,random,-0.26870123437500015,0.0,103.33333333333333,1,0
15,40,random,random,-0.2835216875000002,0.0,829.0,1,0
15,50,random,random,-0.42862393749999994,0.0,30.0,1,0
20,5,random,random,0.2552153906250001,0.75,11.875,0,0
20,10,random,random,0.1623096406250001,0.875,159.875,0,0
20,15,random,random,0.07043979687500004,0.875,311.125,0,0
20,20,random,random,-0.013499703124999998,0.375,3121.0,0,0
20,25,random,random,-0.05322214062500003,0.25,655.5,1,0
20,30,random,random,-0.08534481250000006,0.125,2190.875,1,0
20,35,random,random,-0.18291593750000013,0.0,1904.8,1,0
20,40,random,random,-0.1861151093750001,0.0,1019.6,1,0
20,50,random,random,-0.3873838906250001,0.0,163.5,1,0
25,5,random,random,0.3066437968750001,1.0,1.75,0,0
25,10,random,random,0.27370964062500003,1.0,174.625,0,0
25,15,random,random,0.10384221875000005,0.875,172.0,0,0
25,20,random,random,0.07161751562500004,0.875,1499.25,0,0
25,25,random,random,0.07485735937500003,1.0,172.875,0,0
25,30,random,random,-0.04702892187500002,0.125,230.625,1,0
25,35,random,random,-0.06105293750000003,0.125,1040.25,1,0
25,40,random,random,-0.12099768750000006,0.0,3126.5,1,0
25,50,random,random,-0.23182184375000017,0.0,3201.8,1,0
30,5,random,random,0.30327553124999973,1.0,1.0,0,0
30,10,random,random,0.27903846874999993,1.0,2.625,0,0
30,15,random,random,0.15219514062500006,1.0,240.75,0,0
30,20,random,random,0.11645473437500006,0.875,958.75,0,0
30,25,random,random,0.008083125000000004,0.5,1015.875,0,0
30,30,random,random,0.0029168906249999946,0.625,2493.5,0,0
30,35,random,random,-0.04438118750000003,0.375,504.125,1,0
30,40,random,random,-0.07119848437500002,0.25,291.875,1,0
30,50,random,random,-0.19771868750000013,0.0,2748.5714285714284,1,0
35,5,random,random,0.47440690624999904,1.0,1.875,0,0
35,10,random,random,0.2911599375,1.0,9.875,0,0
35,15,random,random,0.28151484375000013,1.0,22.0,0,0
35,20,random,random,0.20445256250000013,1.0,4.75,0,0
35,25,random,random,0.10467312500000006,1.0,100.125,0,0
35,30,random,random,0.014109765625000012,0.5,2.375,0,0
35,35,random,random,-0.03997614062500001,0.25,1755.0,0,0
35,40,random,random,-0.08816503125000004,0.125,100.28571428571429,1,0
35,50,random,random,-0.11830600000000005,0.0,3940.875,1,0
40,5,random,random,0.49841434374999904,1.0,1.0,0,0
40,10,random,random,0.3894767343749999,1.0,1.0,0,0
40,15,random,random,0.3171967187500001,1.0,146.125,0,0
40,20,random,random,0.2597601250000001,1.0,453.125,0,0
40,25,random,random,0.1822155625000001,1.0,120.125,0,0
40,30,random,random,0.07594642187500004,0.875,591.875,0,0
40,35,random,random,0.005747921875000002,0.25,241.375,0,0
40,40,random,random,-0.013416781250000022,0.625,298.25,0,0
40,50,random,random,-0.08605743750000003,0.125,1583.75,1,0
