rho,mean_m,var_m,mean_m_sem,var_m_sem
0.000000000000000000e+00,4.647261499999998796e-02,2.041898813864212459e-02,1.945043321409703485e-01,3.326139864499594399e-03
5.000000000000000278e-02,9.151753599999998823e-01,1.016291736682049807e-02,6.315374534615871872e-03,3.006080457710013937e-03
1.000000000000000056e-01,9.811371199999999737e-01,2.831896580689500370e-03,7.075465310071481044e-03,1.795172967238631463e-03
1.499999999999999944e-01,9.988390799999999903e-01,2.992005386075005272e-05,2.409205744897897688e-04,1.142151572144302152e-05
2.000000000000000111e-01,9.962507799999998914e-01,9.590034511500014917e-05,1.051658722756590707e-03,2.896082705278579168e-05
2.500000000000000000e-01,9.991776150000000190e-01,8.933186745125015247e-06,4.748752906421996886e-04,5.697885143788288784e-06
2.999999999999999889e-01,9.998475350000000095e-01,1.742318624375003547e-06,9.995724010796452213e-05,1.427049282695989079e-06
3.499999999999999778e-01,9.999008549999999218e-01,5.958613448750009643e-07,9.914499999998937509e-05,5.958613448750009643e-07
4.000000000000000222e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
